Time,Frame,nose_dist,body_dist,freezing,body,Known,Homecage
33.6,504,0.0086114155755193,0.0078509443492102,0,blue_chamber,0,0
33.67,505,0.0101787745150418,0.0097712383315215,0,blue_chamber,0,0
33.73,506,0.0093536595034562,0.0084426232535836,0,blue_chamber,1,0
33.8,507,0.0058881729656568,0.0066245462623703,0,blue_chamber,1,0
33.87,508,0.0043727544940466,0.0036880707919559,0,blue_chamber,1,0
33.93,509,0.0041157174633959,0.0007022816033199,0,blue_chamber,1,0
34.0,510,0.0041297867396991,0.0018051874612384,0,blue_chamber,1,0
34.07,511,0.0048255741823661,0.0010703365109812,0,blue_chamber,1,0
34.13,512,0.0013811622488397,0.0002399265587239,0,blue_chamber,1,0
34.2,513,0.0011382019804574,0.0001810494922475,0,blue_chamber,1,0
34.27,514,0.0016072740208906,0.0005545588998723,0,blue_chamber,1,0
34.33,515,0.0053596212307231,0.0020177881146967,0,blue_chamber,1,0
34.4,516,0.0033921935795042,0.0022900010352456,0,blue_chamber,1,0
34.47,517,0.0022479486295747,0.0004890288716614,0,blue_chamber,1,0
34.53,518,0.0026885786799919,0.0004018017920535,0,blue_chamber,1,0
34.6,519,0.006558835263598,0.0008755592022012,0,blue_chamber,1,0
34.67,520,0.0082072472054626,0.0018629639169131,0,blue_chamber,1,0
34.73,521,0.0041996580576684,0.0026180299483244,0,blue_chamber,1,0
34.8,522,0.0018523029845546,0.000791594065735,0,blue_chamber,1,0
34.87,523,0.0029567205063592,0.0011516323253163,0,blue_chamber,1,0
34.93,524,0.0020369407639541,0.0012453988855767,0,blue_chamber,1,0
35.0,525,0.0010530949063536,0.0007395388302428,0,blue_chamber,1,0
35.07,526,0.0004222655599628,0.0004530838651836,0,blue_chamber,1,0
35.13,527,0.0009464367301941,0.0001194929201499,0,blue_chamber,1,0
35.2,528,0.0037477860839368,0.0005640141765082,0,blue_chamber,1,0
35.27,529,0.0048877041215931,0.0010602712038148,0,blue_chamber,1,0
35.33,530,0.0059022451795089,0.0017562368841476,0,blue_chamber,1,0
35.4,531,0.0033414794825514,0.002954105608847,0,blue_chamber,1,0
35.47,532,0.0008933650707353,0.0015213058168312,0,blue_chamber,1,0
35.53,533,0.0015514548064096,0.0006857949873444,0,blue_chamber,1,0
35.6,534,0.0005133773504728,0.0009517264054563,0,blue_chamber,1,0
35.67,535,0.0003448640177673,0.0010260196359074,0,blue_chamber,1,0
35.73,536,0.0005619020623095,0.000585743162326,0,blue_chamber,1,0
35.8,537,0.0002346891080882,0.000925339154739,0,blue_chamber,1,0
35.87,538,0.0003744594839625,0.0010802561510477,0,blue_chamber,1,0
35.93,539,0.0004222129343686,0.0005186135254063,0,blue_chamber,1,0
36.0,540,0.0002603298107775,0.0003841900512612,0,blue_chamber,1,0
36.07,541,0.0011492354403606,0.0008154925117986,0,blue_chamber,1,0
36.13,542,0.0003214603239482,0.0003084498708693,0,blue_chamber,1,0
36.2,543,0.0002263563097459,0.0003854879470362,0,blue_chamber,1,0
36.27,544,0.0008708031733252,4.421178472839739e-05,0,blue_chamber,1,0
36.33,545,0.0002816320753886,0.0002860022897294,0,blue_chamber,1,0
36.4,546,0.0001341745054431,0.0004566499505022,0,blue_chamber,1,0
36.47,547,0.0004244695559417,0.0004095923659903,0,blue_chamber,1,0
