Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
194.4,2916,0.003195300239252,0.0012899024935094,0,0,0,0
194.47,2917,0.003184792790424,0.0033818201010348,0,0,0,0
194.53,2918,0.0043202907988922,0.0026632204832882,0,0,0,0
194.6,2919,0.0034927496335172,0.0015665633156164,0,0,0,0
194.67,2920,0.0011594406050709,0.0005318902030015,0,0,0,0
194.73,2921,0.0011852028914171,0.0003395070071296,0,0,0,0
194.8,2922,0.0014435853051389,0.0003883899111323,0,0,0,0
194.87,2923,0.0038978728093408,0.0001485695773402,0,0,0,0
194.93,2924,0.006087590875163,0.0009078043192753,0,0,0,0
195.0,2925,0.008127215990871,0.0018327224211157,0,0,0,0
195.07,2926,0.007632427356393,0.0014407303560113,0,0,0,0
195.13,2927,0.0089493006930823,0.006941178020223,0,0,0,0
195.2,2928,0.0121038501537877,0.0105594096614887,0,0,0,0
195.27,2929,0.0119979788940898,0.0099230329246681,0,0,0,0
195.33,2930,0.0108099143120102,0.0111236387613983,0,0,0,0
195.4,2931,0.0082626382385821,0.0092940440156069,0,0,0,0
195.47,2932,0.0047457248824807,0.0043237035914463,0,0,0,0
195.53,2933,0.0031235678165467,0.0038686750720154,0,0,0,0
195.6,2934,0.0065322369314683,0.0037872550973628,0,0,0,0
195.67,2935,0.0072009513888768,0.001823331978864,0,0,0,0
195.73,2936,0.0048562875523852,0.0018014915278005,0,0,0,0
195.8,2937,0.0040820227647673,0.0037552950640416,0,0,0,0
195.87,2938,0.0029564472685563,0.0039019714831434,0,0,0,0
195.93,2939,0.0037843158596315,0.0031075812669372,0,0,0,0
196.0,2940,0.0048811593051872,0.0017903288503965,0,0,0,0
196.07,2941,0.0046369531874479,0.0009164661425405,0,0,0,0
196.13,2942,0.0016008840333593,0.0022531513858533,0,0,0,0
196.2,2943,0.0020451662917211,0.0008081849414026,0,0,0,0
196.27,2944,0.0027108826176864,0.00097636239151,0,0,0,0
196.33,2945,0.0036150933311822,0.0002895225784854,0,0,0,0
196.4,2946,0.0047452660442491,0.0016428626846223,0,0,0,0
196.47,2947,0.0091305732010612,0.0042760637261149,0,0,0,0
196.53,2948,0.0084048767346787,0.0062279117736871,0,0,0,0
196.6,2949,0.0080765830616998,0.0085216605910642,0,0,0,0
196.67,2950,0.0088988950487462,0.0088232729537829,0,0,0,0
196.73,2951,0.0097907037235752,0.0084219059082459,0,0,0,0
196.8,2952,0.0070041697653379,0.0090593527690437,0,0,0,0
196.87,2953,0.0072089433049997,0.0084238250133516,0,0,0,0
196.93,2954,0.0093348065998917,0.0044160130203709,0,0,0,0
197.0,2955,0.0092062204935129,0.0049185871305946,0,0,0,0
197.07,2956,0.0141956416708093,0.0115115555298894,0,0,0,0
197.13,2957,0.0169077506884831,0.0151705363004723,0,0,0,0
197.2,2958,0.0161702960108841,0.016758662558331,0,0,0,0
197.27,2959,0.0155521070031307,0.0143989834998044,0,0,0,0
197.33,2960,0.0081817361665527,0.0124283937254541,0,0,0,0
197.4,2961,0.0033921702269265,0.0105357388833832,0,0,0,0
197.47,2962,0.0040462951165797,0.008568002462666,0,0,0,0
197.53,2963,0.0034192801094772,0.0069084488535787,0,0,0,0
197.6,2964,0.0040734605598792,0.004505460183994,0,0,0,0
197.67,2965,0.0014745229961749,0.0053691037012305,0,0,0,0
197.73,2966,0.0007013131491587,0.0089602170054975,0,0,0,0
197.8,2967,0.0006593906305996,0.0074194978673123,0,0,0,0
197.87,2968,0.0006549483539193,0.0014927999984988,0,0,0,0
197.93,2969,0.0006747685416215,0.0004681475053952,0,0,0,0
198.0,2970,0.0007020317964209,0.0003030905911674,0,0,0,0
198.07,2971,0.0007248258145168,0.0001181415670287,0,0,0,0
