Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
261.87,3928,0.0015930075968929,0.0002350632613873,0,0,0,0
261.93,3929,0.0053407101614297,0.0006060425952341,0,0,0,0
262.0,3930,0.0027210822903242,0.0003060654280385,0,0,0,0
262.07,3931,0.0007669749438359,0.0001974430772431,0,0,0,0
262.13,3932,0.0001661483239515,0.0004930649818941,0,0,0,0
262.2,3933,0.0026800723656668,0.0001227827041679,0,0,0,0
262.27,3934,0.0095318562359471,0.0001980622537356,0,0,0,0
262.33,3935,0.0115939389439864,0.002291914835939,0,0,0,0
262.4,3936,0.0141301993393984,0.0084274699750536,0,0,0,0
262.47,3937,0.0136150891923745,0.0121431314281485,0,0,0,0
262.53,3938,0.0111724232496654,0.0117549531334363,0,0,0,0
262.6,3939,0.0108974702332364,0.0137563541394861,0,0,0,0
262.67,3940,0.0136921370264833,0.0125089233089407,0,0,0,0
262.73,3941,0.0167100561785414,0.0140009674929849,0,0,0,0
262.8,3942,0.0163224955122918,0.0155077109965629,0,0,0,0
262.87,3943,0.0121763374939897,0.0129192379103366,0,0,0,0
262.93,3944,0.0062957442589276,0.0076078791931977,0,0,0,0
263.0,3945,0.0070262555897308,0.0041087413279249,0,0,0,0
263.07,3946,0.0040244203577875,0.0014430708930325,0,0,0,0
263.13,3947,0.0011049072501863,0.0005913370981175,0,0,0,0
263.2,3948,0.0011362952851189,0.0001373003719532,0,0,0,0
263.27,3949,0.0044232626551019,0.0004808864897471,0,0,0,0
263.33,3950,0.0078481816191028,0.0028548791920989,0,0,0,0
263.4,3951,0.007923784790007,0.0055338694099008,0,0,0,0
263.47,3952,0.003389826052712,0.0022725445226705,0,0,0,0
263.53,3953,0.0013972361934505,0.0008296296098805,0,0,0,0
263.6,3954,0.0003956930895499,0.0004947539752627,0,0,0,0
263.67,3955,0.000740299464744,0.0003038787008067,0,0,0,0
263.73,3956,0.0002343146198423,5.417880566782719e-05,0,0,0,0
263.8,3957,2.178147357076862e-05,5.0864097718247976e-05,0,0,0,0
263.87,3958,1.3549697746155587e-05,6.596702049290808e-05,0,0,0,0
263.93,3959,1.8773183439447688e-05,5.467709898333377e-05,0,0,0,0
264.0,3960,5.926660266774189e-05,8.529557674655941e-05,0,0,0,0
264.07,3961,0.0002452366924452,5.2343042096842685e-05,0,0,0,0
264.13,3962,5.8694503403597545e-05,2.758848653534708e-05,0,0,0,0
264.2,3963,4.5691858916094885e-05,2.805281887168692e-05,0,0,0,0
264.27,3964,0.0001537690296121,7.466895177790636e-05,0,0,0,0
264.33,3965,0.0003339544683255,4.92450340578571e-05,0,0,0,0
264.4,3966,0.0001532309330547,7.373279496243883e-05,0,0,0,0
264.47,3967,7.736604576223165e-05,7.59766577622772e-05,0,0,0,0
264.53,3968,0.0002327093375156,0.0001504716082295,0,0,0,0
264.6,3969,0.0020696314470823,0.0008356806951356,0,0,0,0
264.67,3970,0.0059265922895906,0.0031308113243077,0,0,0,0
264.73,3971,0.007800963780744,0.0065106059790368,0,0,0,0
264.8,3972,0.0086802471764538,0.006832785991617,0,0,0,0
264.87,3973,0.0068972994431324,0.006147301886694,0,0,0,0
264.93,3974,0.0050082426895742,0.0053624029261897,0,0,0,0
265.0,3975,0.0093974005976452,0.0053001676924517,0,0,0,0
265.07,3976,0.0060557271329173,0.0055625617663903,0,0,0,0
265.13,3977,0.004162289590194,0.0058899892417564,0,0,0,0
265.2,3978,0.0032664080854197,0.0062506306665986,0,0,0,0
265.27,3979,0.002128643450987,0.0048229050179046,0,0,0,0
265.33,3980,0.0007567928545046,0.0025128756210703,0,0,0,0
265.4,3981,0.0002419999394117,0.0009712711931297,0,0,0,0
265.47,3982,0.0003598171727533,0.0005155910457437,0,0,0,0
265.53,3983,0.0019693742907077,0.001166362143505,0,0,0,0
265.6,3984,0.0056236173146361,0.0032899537962726,0,0,0,0
265.67,3985,0.0049704778753589,0.0035360507874279,0,0,0,0
265.73,3986,0.0047504812011146,0.0047817710762916,0,0,0,0
265.8,3987,0.0036055326378917,0.0033122238287567,0,0,0,0
265.87,3988,0.0027586167669493,0.0026851899600692,0,0,0,0
265.93,3989,0.0028150242712711,0.0020096302128623,0,0,0,0
266.0,3990,0.0003422332236944,0.0001031932404301,0,0,0,0
266.07,3991,0.003651924721857,0.0016420917517263,0,0,0,0
266.13,3992,0.0060264333648194,0.0018177139444802,0,0,0,0
266.2,3993,0.0040210968813135,0.0002342336103758,0,0,0,0
266.27,3994,0.0028115668259106,0.0027436526884962,0,0,0,0
266.33,3995,0.0030928767977379,0.0039167093590487,0,0,0,0
266.4,3996,0.0028663732985298,0.0032257940246225,0,0,0,0
266.47,3997,0.0030277507350038,0.0025287587623232,0,0,0,0
266.53,3998,0.0019732603349745,0.0017425931611522,0,0,0,0
266.6,3999,0.0055023812983751,0.0027458743659003,0,0,0,0
266.67,4000,0.0135658205810152,0.0010901124779308,0,0,0,0
266.73,4001,0.0179837690521482,0.0013846156944961,0,0,0,0
266.8,4002,0.0110625639884873,0.0025456068907477,0,0,0,0
266.87,4003,0.0053700518775108,0.0021692555706173,0,0,0,0
266.93,4004,0.0289068414335602,0.0010599239678047,0,0,0,0
267.0,4005,0.0021176893496588,0.000153839407198,0,0,0,0
267.07,4006,0.0373780423246685,0.0017242163758223,0,0,0,0
267.13,4007,0.009809640314317,0.0047852336401463,0,0,0,0
267.2,4008,0.0013744744459865,0.0040761535996723,0,0,0,0
267.27,4009,0.0003497984542448,0.0006997518807196,0,0,0,0
267.33,4010,0.0006727269570798,0.0010350781980198,0,0,0,0
