Time,Frame,nose_dist,body_dist,freezing,Novel,Known
96.44,2411,0.0028790538053034,0.0001963278995512,0,0.01,0.0
96.48,2412,0.0021054324159975,0.0001530922163443,0,0.01,0.0
96.52,2413,0.0013347618229079,0.0008587144473177,0,0.01,0.0
96.56,2414,0.0017794114215184,0.0013734753102865,0,0.01,0.0
96.6,2415,0.003626620315851,0.0012318890372119,0,0.01,0.0
96.64,2416,0.0061112927515644,0.0008778057246185,0,0.01,0.0
96.68,2417,0.0027062935780996,0.0007728791546079,0,0.01,0.0
96.72,2418,0.0021862908803501,0.0002521571654354,0,0.01,0.0
96.76,2419,0.0014129884650334,8.821011668081876e-05,0,0.01,0.0
96.8,2420,0.001659782285857,0.0003222477486858,0,0.01,0.0
96.84,2421,0.0009972930629311,0.0004852468638684,0,0.01,0.0
96.88,2422,0.0009843927823137,0.0002688443678984,0,0.01,0.0
96.92,2423,0.0012687009478261,8.536725018817463e-05,0,0.01,0.0
96.96,2424,0.0009713081989671,0.0003324645184681,0,0.01,0.0
97.0,2425,0.0012022314077469,0.0006553845955504,0,0.0,0.0
97.04,2426,0.0022140910700481,0.0010797776248795,0,0.0,0.0
97.08,2427,0.007977609301904,0.003737528984918,0,0.0,0.0
97.12,2428,0.0059413870611103,0.0048094878736683,0,0.0,0.0
97.16,2429,0.0054251007443409,0.004456111718448,0,0.0,0.0
97.2,2430,0.0055243335255645,0.0051249205813688,0,0.0,0.0
97.24,2431,0.0073350704112309,0.0067689078265288,0,0.0,0.0
97.28,2432,0.0042850210191398,0.0037278395188021,0,0.0,0.0
97.32,2433,0.0038937138067743,0.0025626193894441,0,0.0,0.0
97.36,2434,0.0022667208060608,0.0017020751635076,0,0.0,0.0
97.4,2435,0.0007778930604369,0.001066132870858,0,0.0,0.0
97.44,2436,0.0021454612496093,0.0025429365942795,0,0.0,0.0
97.48,2437,0.0020238092703548,0.0010250225400673,0,0.0,0.0
97.52,2438,0.003775859233079,0.0009957575848017,0,0.0,0.0
97.56,2439,0.0028767719255986,0.0004943832476371,0,0.0,0.0
97.6,2440,0.0043606337815676,0.0007821949105495,0,0.0,0.0
97.64,2441,0.0041731290981159,0.0007220680760883,0,0.0,0.0
97.68,2442,0.0013057492387733,0.0005730395979581,0,0.0,0.0
97.72,2443,0.0014569470285421,0.001814751618632,0,0.0,0.0
97.76,2444,0.0004209462496519,0.0008579425351982,0,0.0,0.0
97.8,2445,3.517807713081564e-05,0.0007178779058508,0,0.0,0.0
97.84,2446,0.0001054256045838,0.0003207889094308,0,0.0,0.0
97.88,2447,0.0004230984097378,0.0002291021234095,0,0.0,0.0
97.92,2448,0.0014335843144555,0.0003666498310084,0,0.0,0.0
97.96,2449,0.0023049821893746,0.0003560508439888,0,0.0,0.0
