Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
17.16,429,0.0040734295804743,0.0014822148028929,0,other,0,0
17.2,430,0.0030743520728935,0.00116659486077,0,other,0,0
17.24,431,0.003104200513558,0.0002330569004792,0,other,0,0
17.28,432,0.0007108136394616,2.693059418675148e-05,0,other,0,0
17.32,433,0.0021877503024231,0.0004394812961878,0,other,0,0
17.36,434,0.0093140754041264,0.0020854575057117,0,other,0,0
17.4,435,0.0094863898562063,0.0021756948729803,0,other,0,0
17.44,436,0.0071235075304718,0.0017126393693948,0,other,0,0
17.48,437,0.0021509069018261,0.0007077153696945,0,other,0,0
17.52,438,0.0052365461277481,0.0021854701408069,0,other,0,0
17.56,439,0.0103849407064376,0.0045803462043864,0,other,0,0
17.6,440,0.0071491994234114,0.0034154699850844,0,other,0,0
17.64,441,0.0075158660375696,0.0054458414362268,0,other,0,0
17.68,442,0.0024826452863507,0.0021141800691659,0,other,0,0
17.72,443,0.0050750424446864,0.0047622421482474,0,other,0,0
17.76,444,0.0092019925784744,0.0077046143525564,0,other,0,0
17.8,445,0.0065878119978034,0.0041904371451032,0,other,0,0
17.84,446,0.004291498288609,0.0034422976716518,0,other,0,0
17.88,447,0.0008350038129028,0.0010800620354612,0,other,0,0
17.92,448,0.0001637621121212,0.0020832338749493,0,other,0,0
17.96,449,0.0008580876440513,0.0006856625616597,0,other,0,0
18.0,450,0.0011005933055821,0.0010087375033957,0,other,0,0
18.04,451,0.000298660966785,0.0016296404694524,0,other,0,0
18.08,452,0.0002966233366215,0.0016831899363442,0,other,0,0
18.12,453,0.0003207957632892,0.0024980558568711,0,other,0,0
18.16,454,0.0001604256524038,0.0014257250960201,0,other,0,0
18.2,455,5.834924024959383e-05,0.0015857130879551,0,other,0,0
18.24,456,0.0004978411234695,0.0005585865429544,0,other,0,0
18.28,457,0.0028552280488057,0.0011092702046529,0,other,0,0
18.32,458,0.0044218440976474,0.001489250971435,0,other,0,0
18.36,459,0.0033833782232788,0.0018076901271035,0,other,0,0
18.4,460,0.0029320628541741,0.0015782326876265,0,other,0,0
18.44,461,0.0009038985261076,0.0005138247826779,0,other,0,0
18.48,462,0.001187847562092,0.0009335242097089,0,other,0,0
18.52,463,0.0009216331309443,0.0009170630137065,0,other,0,0
18.56,464,0.0018081346050012,0.0002935790295149,0,other,0,0
18.6,465,0.0036747633810681,0.000280460003519,0,other,0,0
18.64,466,0.0012440652318252,0.0006989030865297,0,other,0,0
18.68,467,0.0020789178562973,0.0008899975394766,0,other,0,0
18.72,468,0.003471740680206,0.001870516138115,0,other,0,0
18.76,469,0.0035294566360346,0.0027159564550695,0,other,0,0
18.8,470,0.0017532552947302,0.0007808255047456,0,other,0,0
18.84,471,0.0049459029856773,0.0007697893931987,0,other,0,0
18.88,472,0.0019024242393678,0.0003698883150589,0,other,0,0
18.92,473,0.0091937376999897,0.0013255989976735,0,other,0,0
18.96,474,0.0121077236615547,0.0044665027243393,0,other,0,0
19.0,475,0.0079686862435354,0.0012528630117959,0,other,0,0
19.04,476,0.0047055749460035,0.0001406474064139,0,other,0,0
19.08,477,0.0024395441307257,0.0003751467283887,0,other,0,0
19.12,478,0.0014147859783563,9.25878866623808e-05,0,other,0,0
19.16,479,0.0040718997358931,0.0001401588132413,0,other,0,0
19.2,480,0.0033263274768458,0.0007693030486531,0,other,0,0
19.24,481,0.0034159936808451,0.0009996305392423,0,other,0,0
19.28,482,0.0015401897565212,0.0002355773570417,0,other,0,0
19.32,483,0.0032827504673922,0.0004492974828981,0,other,0,0
19.36,484,0.0059076200052416,0.00177052361336,0,other,0,0
19.4,485,0.0048872370070669,0.0005167685140811,0,other,0,0
19.44,486,0.0050341222150585,0.0002989179426226,0,other,0,0
19.48,487,0.0012640542017761,8.463875547274763e-05,0,other,0,0
19.52,488,0.0009419088459446,0.0002552718045516,0,other,0,0
