Time,Frame,nose_dist,body_dist,freezing,Left,Right
71.28,1782,0.0007224558276833,7.330147868877645e-05,0,0.0,0.0
71.32,1783,0.0003696998710153,3.5402840598158786e-05,0,0.0,0.0
71.36,1784,0.0013898460629297,0.0001219785376817,0,0.0,0.0
71.4,1785,0.0028066753150123,0.0001215577699953,0,0.0,0.0
71.44,1786,0.0019850360076892,0.0005736489466916,0,0.0,0.0
71.48,1787,0.0025549771619095,0.0006900402550326,0,0.0,0.0
71.52,1788,0.000699222455318,0.0004393682902645,0,0.0,0.0
71.56,1789,0.0015330404842928,0.0013742651320153,0,0.0,0.0
71.6,1790,0.0032203176944438,0.0015060568602308,0,0.01,0.0
71.64,1791,0.0034765909290341,0.0022521017922327,0,0.01,0.0
71.68,1792,0.0043081887803197,0.0026036461931999,0,0.01,0.01
71.72,1793,0.0012382935892736,0.0007444478117621,0,0.01,0.01
71.76,1794,0.0011436485212097,0.0010584618863677,0,0.01,0.01
71.8,1795,0.0008764690074576,0.0014284323045805,0,0.01,0.01
71.84,1796,0.0029812615011993,0.0012260752674924,0,0.01,0.01
71.88,1797,0.002752653739693,0.0013588343841383,0,0.01,0.01
71.92,1798,0.0007778184061187,0.0003489854216548,0,0.01,0.01
71.96,1799,0.0010615936691636,8.24350804458917e-05,0,0.01,0.0
72.0,1800,0.0006208671233192,6.63245171689004e-05,0,0.01,0.0
72.04,1801,0.0006390018652402,0.0003384808279715,0,0.01,0.0
72.08,1802,0.0009056421375229,0.0012584432005701,0,0.01,0.0
72.12,1803,0.0004504776214455,0.0006223250990552,0,0.01,0.0
72.16,1804,0.0018655837676696,0.0017885722775267,0,0.01,0.0
72.2,1805,0.0045823642986879,0.0027790421494895,0,0.01,0.0
72.24,1806,0.0049969923220151,0.0012961933625598,0,0.01,0.0
72.28,1807,0.0017371577016956,0.000911224228106,0,0.01,0.01
72.32,1808,0.0030216164082266,0.0027828526224871,0,0.01,0.01
72.36,1809,0.0012748337482788,0.0007864098175107,0,0.01,0.01
72.4,1810,0.0022388167810439,0.0009660828792667,0,0.01,0.01
72.44,1811,0.003377358365154,0.0033925039547565,0,0.01,0.01
72.48,1812,0.0019779528622423,0.0017782382798485,0,0.01,0.01
72.52,1813,0.0027411756972273,0.0008092956151646,0,0.01,0.01
72.56,1814,0.002395640056575,0.0010446700349201,0,0.01,0.01
72.6,1815,0.0007167246864438,0.000311307317422,0,0.0,0.01
72.64,1816,0.00170297796702,0.001285637359104,0,0.0,0.01
72.68,1817,0.0050654775918926,0.0045366251472462,0,0.0,0.01
72.72,1818,0.0068983848293268,0.0047587932638764,0,0.0,0.01
72.76,1819,0.0052014221098466,0.0050679404228237,0,0.0,0.01
72.8,1820,0.0035921091693502,0.003096952355171,0,0.0,0.01
72.84,1821,0.0013538277486408,0.0014486519086782,0,0.0,0.01
72.88,1822,0.0030395966407915,0.0037548529523208,0,0.0,0.01
72.92,1823,0.0021415392744267,0.0021116387176997,0,0.0,0.01
72.96,1824,0.0014309948810577,0.0017713999846978,0,0.0,0.01
73.0,1825,0.0042637172913187,0.0061712341347268,0,0.0,0.01
73.04,1826,0.0016975196091742,0.0026715420051536,0,0.0,0.01
73.08,1827,0.0029259255187168,0.0003208108806406,0,0.0,0.01
73.12,1828,0.0038721376440434,3.3828608349040224e-06,0,0.0,0.01
73.16,1829,0.0011394910053239,0.0003412829197483,0,0.0,0.0
73.2,1830,0.0018256901365594,0.0017945326824938,0,0.0,0.0
73.24,1831,0.0033554991229896,0.0027022468431894,0,0.0,0.0
73.28,1832,0.0033565094022215,0.0023479088512896,0,0.0,0.0
73.32,1833,0.0043914047388484,0.0009308800635296,0,0.0,0.0
73.36,1834,0.0010156863271554,0.0001720815263315,0,0.0,0.0
73.4,1835,0.0001215513750516,0.0001428494489002,0,0.0,0.0
73.44,1836,0.0005658706489464,0.0002120537528544,0,0.0,0.0
73.48,1837,0.0010522479013238,7.327540660946813e-05,0,0.0,0.0
73.52,1838,0.0023240004042366,0.0001792744823675,0,0.0,0.0
73.56,1839,0.0007381934654663,0.0001579895622445,0,0.0,0.0
73.6,1840,0.0018559403750741,0.0007888791351086,0,0.0,0.0
73.64,1841,0.0030108520313161,0.0019071420866484,0,0.0,0.0
73.68,1842,0.0008587648905825,0.0006469278029847,0,0.0,0.0
73.72,1843,0.0014455678128003,0.0002622645718358,0,0.0,0.0
73.76,1844,0.0012409434168019,6.869241984681196e-05,0,0.0,0.0
73.8,1845,0.00030322635347,4.941416965387191e-06,0,0.0,0.0
73.84,1846,0.0006366633908985,7.891746530912851e-05,0,0.0,0.01
73.88,1847,0.0026030969636162,0.0003299949423652,0,0.0,0.01
73.92,1848,0.0024937334723642,0.0001434104393915,0,0.0,0.01
73.96,1849,0.0005860778277455,0.0001042137316601,0,0.0,0.01
74.0,1850,0.001451555784312,0.0008411004345068,0,0.0,0.01
74.04,1851,0.0029097426067193,0.00225743444908,0,0.0,0.01
74.08,1852,0.0025138034491747,0.00160351250383,0,0.0,0.01
74.12,1853,0.0040792530403689,0.002461140895723,0,0.0,0.02
74.16,1854,0.0017101877112411,0.0008595435744601,0,0.0,0.06
74.2,1855,0.0038436845247195,0.002041024004167,0,0.0,0.19
74.24,1856,0.0044423735746798,0.0036006157274498,0,0.01,0.57
