Time,Frame,nose_dist,body_dist,freezing,body,Mice,Object
93.27,1399,0.0004271588514547,0.0002908350099996,0,blue_chamber,0,0
93.33,1400,9.76068724791754e-05,0.0004203808370936,0,blue_chamber,0,0
93.4,1401,6.560223682327261e-05,0.000557915978693,0,blue_chamber,0,0
93.47,1402,0.0001074591204245,0.000703478143071,0,blue_chamber,0,0
93.53,1403,3.4607247739488736e-05,0.0008571089702355,0,blue_chamber,0,0
93.6,1404,1.192912415897954e-05,0.0010188309145489,0,blue_chamber,0,0
93.67,1405,0.0093573756271242,0.0011886751128479,0,blue_chamber,0,0
93.73,1406,0.037386362005128,0.0013666515480796,0,blue_chamber,0,0
93.8,1407,0.001191517441905,0.0015527958178784,0,blue_chamber,0,0
93.87,1408,0.0346975014191723,0.001747119176096,0,blue_chamber,0,0
93.93,1409,0.0077178075737445,0.0027647385972388,0,blue_chamber,0,0
94.0,1410,0.050156513722303,0.006803419947483,0,blue_chamber,0,0
94.07,1411,0.0206015344747073,0.0098084009396246,0,blue_chamber,0,0
94.13,1412,0.0100677151553186,0.00991402575199,0,blue_chamber,0,0
94.2,1413,0.0105756758637366,0.0109946198533834,0,blue_chamber,0,0
94.27,1414,0.0127624842851963,0.012587537723261,0,blue_chamber,0,0
94.33,1415,0.0154135668166209,0.0151307930431411,0,blue_chamber,0,0
94.4,1416,0.020578291016506,0.0229010967756124,0,blue_chamber,0,0
94.47,1417,0.0256835593658823,0.0252001076087122,0,blue_chamber,0,0
94.53,1418,0.0260366904934048,0.0270156237016414,0,blue_chamber,0,0
94.6,1419,0.0262668891948639,0.0266510313585025,0,blue_corner,0,0
94.67,1420,0.025295991883683,0.0238298777874619,0,blue_corner,0,0
94.73,1421,0.0217522333810949,0.0210129037827125,0,blue_corner,0,0
94.8,1422,0.0167255232925396,0.0165602266208129,0,blue_corner,0,0
94.87,1423,0.0160666059541687,0.0152078005117894,0,blue_corner,0,0
94.93,1424,0.0165781178686958,0.0139267136478649,0,blue_corner,0,0
95.0,1425,0.017010549726768,0.0150750772441396,0,blue_corner,0,0
95.07,1426,0.0171742622522209,0.0183234205571543,0,blue_corner,0,0
95.13,1427,0.0239873499802557,0.0229422490486284,0,blue_corner,0,0
95.2,1428,0.0212201595204518,0.0222442716218385,0,center,0,0
95.27,1429,0.0190964912674883,0.0188295202946754,0,center,0,0
95.33,1430,0.01624863962127,0.018718457336043,0,center,0,0
95.4,1431,0.0111933530656064,0.0125543601750044,0,center,0,0
95.47,1432,0.0067050409383212,0.006071317018609,0,center,0,0
95.53,1433,0.0053334814697942,0.0017771911133111,0,center,0,0
95.6,1434,0.0058583403157476,0.0012297097086907,0,center,0,0
95.67,1435,0.0088993205739062,0.0038142010817288,0,center,0,0
95.73,1436,0.0114874018858625,0.0079969092911725,0,center,0,0
95.8,1437,0.0138394066195553,0.0131768286935865,0,center,0,0
95.87,1438,0.0166500543285372,0.0147785443940686,0,center,0,0
95.93,1439,0.0176253418535303,0.0173935025610499,0,center,0,0
96.0,1440,0.0189802906143875,0.0185108166715835,0,center,0,0
96.07,1441,0.0188326215064708,0.0192511811877505,0,center,0,0
96.13,1442,0.015366090653864,0.0149648744206719,0,center,0,0
96.2,1443,0.0087030508143359,0.0076633991645447,0,center,0,0
96.27,1444,0.0026431233639528,0.0024683327668556,0,center,0,0
