Time,Frame,nose_dist,body_dist,freezing,Known,Novel
157.36,3934,0.0012697188703512,0.0022067657070217,0,0.01,0.0
157.4,3935,0.0007759363897033,0.000728525311876,0,0.01,0.0
157.44,3936,0.0002360171273655,0.0006046687497806,0,0.01,0.0
157.48,3937,0.0002337535695314,0.0001605967052929,0,0.01,0.0
157.52,3938,0.000959867519367,0.0004842010072379,0,0.01,0.0
157.56,3939,0.0022441660278211,0.0020778534907134,0,0.01,0.0
157.6,3940,0.0015171643784402,0.0016154567654614,0,0.01,0.0
157.64,3941,0.0004801395548448,0.0003720705372756,0,0.01,0.0
157.68,3942,0.0001586167670457,0.0003236138510163,0,0.01,0.0
157.72,3943,0.0008429941066668,0.0004656947240695,0,0.01,0.0
157.76,3944,0.0027982698148807,0.0013975103640829,0,0.01,0.0
157.8,3945,0.004157650069849,0.0004322300140446,0,0.01,0.0
157.84,3946,0.0025617390107653,0.000219291999885,0,0.01,0.0
157.88,3947,0.0019387931616823,0.0007094605461706,0,0.01,0.0
157.92,3948,0.0019915586857146,0.0002801243729312,0,0.01,0.0
157.96,3949,0.0021495364562167,0.0004740538383772,0,0.01,0.0
158.0,3950,0.0023739399159643,0.0007342493414978,0,0.01,0.01
158.04,3951,0.0026581999238013,0.0010123843102818,0,0.01,0.01
158.08,3952,0.0029954271751592,0.0011702162958332,0,0.01,0.01
158.12,3953,0.0033796937466509,0.0006457734085672,0,0.01,0.01
158.16,3954,0.0048571020483797,0.0008630461497577,0,0.01,0.01
158.2,3955,0.0094347405587031,0.0003135995039195,0,0.01,0.01
158.24,3956,0.0082947758124485,9.22767750685749e-05,0,0.01,0.01
158.28,3957,0.0017860622088934,0.0004197252629437,0,0.01,0.01
158.32,3958,0.0034259520196563,0.0029427001380477,0,0.01,0.01
158.36,3959,0.0077197535248476,0.0071456730575353,0,0.01,0.01
158.4,3960,0.0059714913280522,0.0061803355618353,0,0.01,0.01
158.44,3961,0.0047929390678357,0.0062361747333137,0,0.01,0.01
158.48,3962,0.0016164318715069,0.0020208730836794,0,0.01,0.01
158.52,3963,0.0033213057169152,0.0038669564994824,0,0.01,0.01
158.56,3964,0.0031582361496003,0.0056507196958162,0,0.01,0.02
158.6,3965,0.0020847792069773,0.0025447196480134,0,0.01,0.02
158.64,3966,0.0015230098252238,0.0013900936505298,0,0.01,0.02
158.68,3967,0.0011182316369545,0.0003828529587243,0,0.01,0.02
158.72,3968,0.0002377229918073,7.325193285435562e-05,0,0.01,0.02
158.76,3969,0.0009017462806938,0.0001995185585582,0,0.01,0.02
158.8,3970,0.0012511250499411,0.0002642772409409,0,0.0,0.02
158.84,3971,0.0008779044915474,0.0004414994298134,0,0.0,0.02
158.88,3972,0.0001663988917146,0.0001034106430513,0,0.0,0.02
