Time,Frame,nose_dist,body_dist,freezing,body
154.68,3867,0.0062880385239653,0.0018712026627513,0,Arm_3
154.72,3868,0.0034284900235126,0.0010501558437786,0,Arm_3
154.76,3869,0.0041166486098694,0.0013727065855719,0,Arm_3
154.8,3870,0.0055720067684997,0.0024458263912736,0,Arm_3
154.84,3871,0.0059540826162992,0.004050458498386,0,Arm_3
154.88,3872,0.0060509098542049,0.0048707049616938,0,Arm_3
154.92,3873,0.0037892551756156,0.0053398734902583,0,other
154.96,3874,0.0042242168695584,0.0043738725956026,0,other
155.0,3875,0.0036695106388249,0.001727765094387,0,other
155.04,3876,0.0034261562472803,0.0028344444644531,0,other
155.08,3877,0.0031619388228414,0.003813366585259,0,other
155.12,3878,0.0049607654926898,0.0027669147738205,0,other
155.16,3879,0.0039710403595287,0.0039815177931162,0,other
155.2,3880,0.0020246689562977,0.0039860950887011,0,other
155.24,3881,0.003045712285864,0.0037133933949976,0,other
155.28,3882,0.0063426890751773,0.0052776823970343,0,other
155.32,3883,0.0077487469688012,0.0065067392841201,0,other
155.36,3884,0.0094734970852346,0.0077230369154044,0,other
155.4,3885,0.0076306185829422,0.0089468472430342,0,other
155.44,3886,0.005973004745499,0.0084208188381566,0,other
155.48,3887,0.00574434930478,0.0071742427153627,0,other
155.52,3888,0.004829271387477,0.0028723378873046,0,other
155.56,3889,0.00516770118281,0.0035370603831758,0,other
155.6,3890,0.008497696221968,0.006932083610562,0,other
155.64,3891,0.0084517714280734,0.0088001759301136,0,other
155.68,3892,0.006850555602977,0.0081881078483713,0,other
155.72,3893,0.0058873846028641,0.006433059205576,0,other
155.76,3894,0.0048519885675669,0.0050537829645382,0,other
155.8,3895,0.0031687240671708,0.003248232543995,0,other
155.84,3896,0.0025886040055508,0.0025706345042667,0,other
155.88,3897,0.0026570536123742,0.0041303241738633,0,other
155.92,3898,0.0009836352159166,0.0045690133225174,0,other
155.96,3899,0.0021712441537976,0.004780300724107,0,other
156.0,3900,0.0012881374589819,0.0047869316557255,0,other
156.04,3901,0.0016344978338923,0.0030600942638792,0,other
156.08,3902,0.0031432334740606,0.0019968366162644,0,other
156.12,3903,0.0028356770633244,0.0010386759395247,0,other
156.16,3904,0.0025413224162189,0.0012023178953273,0,other
156.2,3905,0.0015468105679284,0.0016302900497804,0,other
156.24,3906,0.0012846006041152,0.0009615341731391,0,other
156.28,3907,0.0018447643299265,0.0006377579229595,0,other
156.32,3908,0.0014944136544447,0.0001581708557818,0,other
156.36,3909,0.0014453035730033,0.0005213293781529,0,other
156.4,3910,0.0023159648421087,0.0018166591201304,0,other
156.44,3911,0.0032338895358911,0.0035316294578291,0,other
156.48,3912,0.0036732332444867,0.0047156931218599,0,other
156.52,3913,0.0031533087685918,0.001972680441863,0,other
156.56,3914,0.0037897631929135,0.001774392084015,0,other
156.6,3915,0.004340410138168,0.0013552499540809,0,other
156.64,3916,0.0037874673017716,0.0007229399718889,0,other
156.68,3917,0.0016196477110009,0.0007409051573676,0,other
156.72,3918,0.0013300897605333,0.0002141784939688,0,other
156.76,3919,0.0048605788630523,0.0004462271835338,0,other
156.8,3920,0.0048557931213751,0.0006591928183182,0,other
156.84,3921,0.0059515791257243,0.0028301920110085,0,other
156.88,3922,0.008532413739509,0.0042962779949227,0,other
156.92,3923,0.011210534710332,0.006710980811093,0,other
156.96,3924,0.0126305304383649,0.012626178026463,0,other
157.0,3925,0.0190198328279862,0.0150796088375227,0,other
157.04,3926,0.0125502564872124,0.0095089207344471,0,other
157.08,3927,0.0074595022141366,0.0083382999825755,0,other
157.12,3928,0.0060282258829003,0.0070693903299932,0,other
157.16,3929,0.0064110404895038,0.007888784339962,0,other
157.2,3930,0.0072198252779906,0.0083994547713517,0,other
157.24,3931,0.0076121162481749,0.0063507618663109,0,other
157.28,3932,0.0075676226954844,0.0065210962845995,0,other
157.32,3933,0.0069055805474232,0.0051940482598181,0,other
157.36,3934,0.0044477450495938,0.0043885783630634,0,other
157.4,3935,0.0043914127627292,0.0045945636312139,0,other
157.44,3936,0.0057480243192722,0.0056794421797645,0,other
157.48,3937,0.0061107818790745,0.0090184140781625,0,Arm_2
157.52,3938,0.0099091930168088,0.0072174770406973,0,Arm_2
157.56,3939,0.0094391597436462,0.0077969906229936,0,Arm_2
157.6,3940,0.0065299688320198,0.0101330420934836,0,Arm_2
157.64,3941,0.0085831130106481,0.0090034606920228,0,Arm_2
157.68,3942,0.0109228640146634,0.0096187032124165,0,Arm_2
157.72,3943,0.0102058411539585,0.0105209546091556,0,Arm_2
157.76,3944,0.0095240792891289,0.0101247620729059,0,Arm_2
157.8,3945,0.0114494302535593,0.0098674199697578,0,Arm_2
157.84,3946,0.0118657236594959,0.0103246032035927,0,Arm_2
157.88,3947,0.011870021113002,0.0092228890848027,0,Arm_2
157.92,3948,0.0073262701674029,0.0079696948347154,0,Arm_2
157.96,3949,0.007942596727605,0.007591875011097,0,Arm_2
158.0,3950,0.0080315209669351,0.0066948111592436,0,Arm_2
158.04,3951,0.0042918538290394,0.0055060775801905,0,Arm_2
158.08,3952,0.0028509855774925,0.003655405567297,0,Arm_2
158.12,3953,0.0045052910935307,0.0046277297443999,0,Arm_2
158.16,3954,0.0045466023025856,0.003506019008881,0,Arm_2
158.2,3955,0.0051187073500418,0.0035429214995744,0,Arm_2
158.24,3956,0.0037201502027234,0.0041049531996099,0,Arm_2
158.28,3957,0.0045233947953829,0.0058200374207542,0,Arm_2
158.32,3958,0.0059556562606157,0.0046522393560738,0,Arm_2
158.36,3959,0.0050010274483502,0.005277764278867,0,Arm_2
158.4,3960,0.0071419601894156,0.0064992217147367,0,Arm_2
158.44,3961,0.0077976489009206,0.0057864430664208,0,Arm_2
158.48,3962,0.0061952528808467,0.0060010334554913,0,Arm_2
158.52,3963,0.0043350962188568,0.0041527289750069,0,Arm_2
158.56,3964,0.0066893649536655,0.0032321410357439,0,Arm_2
158.6,3965,0.0060601549501548,0.0044611792102249,0,Arm_2
158.64,3966,0.0046449440556125,0.0031967418387603,0,Arm_2
