Time,Frame,nose_dist,body_dist,freezing,darting
250.28,6257,0.0031671151456449,0.0015493367245486,0,0
250.32,6258,0.0076147944738626,0.0050189097132271,0,0
250.36,6259,0.0030860774678782,0.0018670136747115,0,0
250.4,6260,0.0024305158448177,0.0005264617326004,0,0
250.44,6261,0.0008771505599869,0.0003711752577921,0,0
250.48,6262,0.0025740443987419,0.0017340891784618,0,0
250.52,6263,0.0062935780651015,0.0040988628576657,0,0
250.56,6264,0.0056327312247128,0.0042564192973656,0,0
250.6,6265,0.0068901361079822,0.0060933039148659,0,0
250.64,6266,0.0021888282877511,0.0020690485447572,0,0
250.68,6267,0.0033807607521822,0.0037653163907056,0,0
250.72,6268,0.0046672372988026,0.006151380990242,0,0
250.76,6269,0.0050200964709817,0.0048911429650618,0,0
250.8,6270,0.0078671774603709,0.0071367392953221,0,0
250.84,6271,0.0148960870285165,0.0157567719174347,0,0
250.88,6272,0.0052547204169769,0.0056148188296424,0,0
250.92,6273,0.0096291066727398,0.0091042818840798,0,0
250.96,6274,0.0124051107149113,0.0102940991845003,0,0
251.0,6275,0.0039395861417093,0.0049084856981691,0,0
251.04,6276,0.0006145015148128,0.0007979819094206,0,0
251.08,6277,0.0018443969824875,0.0001895219632433,0,0
251.12,6278,0.0042112366198813,0.0007056242810788,0,0
251.16,6279,0.0013469072196391,0.000386807159508,0,0
251.2,6280,0.0013956790180924,0.0006904131828497,0,0
251.24,6281,0.0007227560420304,0.0002581268433086,0,0
251.28,6282,0.0018175551750001,0.0004779043634537,0,0
251.32,6283,0.0006893282138613,0.0014659339617393,0,0
251.36,6284,0.0020797182259519,0.0011911277763632,0,0
251.4,6285,0.0035866851734402,0.000559342775064,0,0
251.44,6286,0.0010678836357019,0.0002251047356964,0,0
251.48,6287,0.0021565458111239,0.0005233628735806,0,0
251.52,6288,0.0059734917801095,0.0008755133422358,0,0
251.56,6289,0.003184561442352,0.0011793046945239,0,0
251.6,6290,0.0009985135994186,0.0009158689972379,0,0
251.64,6291,0.0011503670670991,0.0011034744862401,0,0
251.68,6292,0.0066529298041318,0.005102002219344,0,0
251.72,6293,0.0114023133709288,0.0074760325973704,0,0
251.76,6294,0.0038229212224972,0.0029599239634983,0,0
251.8,6295,0.0073904613834506,0.0082047437590434,0,0
251.84,6296,0.0127158072707815,0.0140157770600166,0,0
251.88,6297,0.0060996368755318,0.0061598035515659,0,0
251.92,6298,0.0024911743197607,0.0027540403769965,0,0
251.96,6299,0.0065901982511111,0.0077966080420937,0,0
252.0,6300,0.0019634728164534,0.0022105238806909,0,0
252.04,6301,0.0017120199629539,0.0013167999108615,0,0
252.08,6302,0.0022031468871253,0.0023218744588718,0,0
252.12,6303,0.001339848652325,0.0005424301820076,0,0
252.16,6304,0.0020519331794158,0.000184150363364,0,0
252.2,6305,0.0005540994883842,4.589760677503529e-05,0,0
252.24,6306,0.0005241691851734,0.0001940527336712,0,0
252.28,6307,0.001546443504946,0.0007798700703169,0,0
252.32,6308,0.0014430662566742,0.0002023526106496,0,0
252.36,6309,0.0020034968074778,7.089203418895535e-06,0,0
252.4,6310,0.000458289448685,2.309230080921765e-05,0,0
252.44,6311,0.0014314548192221,0.0001862146875107,0,0
252.48,6312,0.0075437914130871,0.0011343505328802,0,0
252.52,6313,0.0088595420873452,0.0019749474581065,0,0
252.56,6314,0.0030159191864838,0.0006895918223428,0,0
252.6,6315,0.0046050444559921,0.0011801051845641,0,0
252.64,6316,0.0021740730042628,0.0005178621627297,0,0
252.68,6317,0.0049724656168455,0.0010154470780974,0,0
252.72,6318,0.0046659608612828,0.0006672126690282,0,0
252.76,6319,0.0040686016059777,0.0019108897016421,0,0
252.8,6320,0.0040458168030136,0.0026282878859601,0,0
252.84,6321,0.0010575938758048,0.0005770315343741,0,0
252.88,6322,0.0029418569555149,0.0002041939220695,0,0
252.92,6323,0.0029532822438537,0.0011222636918535,0,0
252.96,6324,0.0029974728767784,0.0016804209604788,0,0
253.0,6325,0.0026435312065069,0.0015502900682138,0,0
253.04,6326,0.0016084856897938,0.0018364267182008,0,0
253.08,6327,0.000414641432329,0.0004554288742738,0,0
253.12,6328,0.0009532178800892,0.0002032748355574,0,0
253.16,6329,0.0026496088111528,0.0001538392024664,0,0
253.2,6330,0.000740565455478,0.0001716101348564,0,0
253.24,6331,0.0004152284886525,0.0004820111587796,0,0
253.28,6332,0.0007140976985257,0.0003354719613287,0,0
253.32,6333,0.0001080741055169,0.0007600663771835,0,0
253.36,6334,0.0004483009873172,0.0002685667026123,0,0
253.4,6335,0.0007353069203228,0.0004723949540995,0,0
253.44,6336,0.0009408584143682,0.0003520106292852,0,0
253.48,6337,0.0010962998490088,0.000308141894806,0,0
253.52,6338,0.0012050888543289,0.0003545878328353,0,0
253.56,6339,0.0012724122344823,0.0006045584045577,0,0
253.6,6340,0.0013061814885488,0.0001413099458438,0,0
253.64,6341,0.0013131103292031,0.0002177448560909,0,0
253.68,6342,0.001443323350518,0.0009642204513127,0,0
253.72,6343,0.0026901528808966,0.0007515431900494,0,0
253.76,6344,0.0039270695654219,0.0007680289133669,0,0
253.8,6345,0.0011590886181672,0.0002961258374731,0,0
253.84,6346,0.0019676087790128,0.0007813879883191,0,0
253.88,6347,0.003083345427632,0.0015525394582951,0,0
253.92,6348,0.0010342405827062,0.000569004048747,0,0
253.96,6349,0.0014027547176781,9.400697396569196e-05,0,0
254.0,6350,0.0004523499842027,7.297739545989941e-05,0,0
254.04,6351,0.0007301020968925,0.0002937693376496,0,0
254.08,6352,0.0004270589116208,0.0001318430503545,0,0
254.12,6353,0.0009280686636289,0.0002165974585133,0,0
254.16,6354,0.0004632955626268,0.000277566769996,0,0
254.2,6355,0.0006867417698543,0.0001334249873469,0,0
254.24,6356,0.0002082889736178,5.439098134570855e-05,0,0
254.28,6357,0.0003629824786785,0.0001793093436628,0,0
254.32,6358,0.0024007181116641,0.0003253555515761,0,0
254.36,6359,0.0088328961895411,0.0010206531235289,0,0
254.4,6360,0.0113126542033236,0.0002778805350895,0,0
254.44,6361,0.0028932712667645,0.0003139834600601,0,0
254.48,6362,0.0024045526852235,0.0013560831298223,0,0
254.52,6363,0.0019463964534272,0.000977314684409,0,0
254.56,6364,0.0029529284349065,0.0008321279273666,0,0
254.6,6365,0.0066508343505998,0.0028623122567415,0,0
254.64,6366,0.0022279497188062,0.0010491980974799,0,0
254.68,6367,0.0033014153392218,0.0017881897264297,0,0
254.72,6368,0.0045255258850583,0.0024121196678822,0,0
254.76,6369,0.0012642449873772,0.0005451421886813,0,0
254.8,6370,0.0018061353624335,0.0003070908000418,0,0
254.84,6371,0.0044832610202131,0.000174656121417,0,0
254.88,6372,0.0016329107610635,0.0003964874894249,0,0
254.92,6373,0.0017326317634852,0.0005364043613349,0,0
254.96,6374,0.0009270160209107,0.0016544178299275,0,0
255.0,6375,0.0001584288632091,0.0004262013549754,0,0
255.04,6376,2.0262680332301383e-05,0.0001955060915406,0,0
255.08,6377,9.557458974560252e-05,0.0010323069357592,0,0
255.12,6378,0.0001770128775549,0.0014861423776838,0,0
255.16,6379,0.0001642505549677,0.0006195598571123,0,0
255.2,6380,0.0001794957476431,8.956847232292595e-05,0,0
255.24,6381,0.0009311886167656,0.0001127184835227,0,0
255.28,6382,0.0016187767245626,2.8093528585984015e-05,0,0
255.32,6383,0.001596526670389,0.0008507082044185,0,0
255.36,6384,0.0012238766532544,0.0034116732012378,0,0
255.4,6385,0.000566628676879,0.0008507089113031,0,0
255.44,6386,0.0016003638285434,0.0003061345203919,0,0
255.48,6387,0.0020803735788187,0.0017673244021252,0,0
255.52,6388,0.0020728996681677,0.0024840222409177,0,0
255.56,6389,0.0009731743353222,0.000860677885515,0,0
255.6,6390,0.0021342758625235,0.0014290714954931,0,0
255.64,6391,0.0015537910610084,0.0020943076517053,0,0
255.68,6392,0.0047422880759616,0.0046762361966836,0,0
255.72,6393,0.0028137132540997,0.0018347217362507,0,0
255.76,6394,0.0006565595944817,0.00033991347115,0,0
255.8,6395,0.000133698874835,0.00042190071613,0,0
255.84,6396,0.0003966459187719,0.0001075244566154,0,0
255.88,6397,0.0005570904060201,8.807996169383459e-05,0,0
255.92,6398,0.0003577893389034,0.0004008893411575,0,0
255.96,6399,0.0007701607343142,0.0003948561801265,0,0
256.0,6400,0.0004227245494608,0.0005170946714518,0,0
256.04,6401,0.000132244707749,0.0002135440571953,0,0
256.08,6402,0.000295386309581,0.0002086618803717,0,0
256.12,6403,0.0001816346218427,8.893319558621083e-05,0,0
256.16,6404,0.0005356449704648,1.2667779967117098e-05,0,0
256.2,6405,0.000754493913373,0.0003587293826599,0,0
256.24,6406,0.002487598312467,0.0014771230051521,0,0
256.28,6407,0.0009978751910306,0.000646128490297,0,0
256.32,6408,0.0001648671328717,0.0001598559570004,0,0
256.36,6409,0.0001501111592518,5.555293908609064e-05,0,0
256.4,6410,0.0006944853700006,0.0002175557407412,0,0
256.44,6411,0.0008324532485853,0.0001996478170209,0,0
256.48,6412,0.0008867870387498,0.0001697732433002,0,0
256.52,6413,0.0006553542058949,0.0003482891537433,0,0
256.56,6414,0.000170993567304,0.0002333027415247,0,0
256.6,6415,0.0001055751013526,0.000413032114397,0,0
256.64,6416,0.000606920277671,0.0002345310600258,0,0
256.68,6417,0.0021971463279351,0.0001364780445077,0,0
256.72,6418,0.0032810268548029,0.0003655556158259,0,0
256.76,6419,0.0017408984057851,0.0005607060443999,0,0
256.8,6420,0.004381466380012,0.0019401846481979,0,0
256.84,6421,0.0032413611238057,0.0009294885309071,0,0
256.88,6422,0.0026091891160287,0.0005845924038413,0,0
256.92,6423,0.0009160653436034,0.0008204244002214,0,0
256.96,6424,0.0014096660950716,0.0028839279212507,0,0
257.0,6425,0.0005838257278181,0.000835967333655,0,0
257.04,6426,0.0011020912782679,0.0004626212226438,0,0
257.08,6427,0.0021576667857493,0.0002975114530962,0,0
257.12,6428,0.0015217350652686,0.0001946977137035,0,0
257.16,6429,0.0021370415353862,0.0006734529313499,0,0
257.2,6430,0.0005287034912986,0.0001880112840712,0,0
257.24,6431,5.6052693550021685e-05,8.321843550373866e-05,0,0
257.28,6432,0.001048112331835,0.0003176899624391,0,0
257.32,6433,0.0046912614949362,0.0013486346125301,0,0
