Time,Frame,nose_dist,body_dist,freezing,darting,Mice,Object
253.67,3805,0.0002418189577734,0.0007338609307519,0,0,0,1
253.73,3806,0.0004624013873613,0.0001179042216601,0,0,0,1
253.8,3807,7.91341849841584e-05,0.0005892622676644,0,0,0,1
253.87,3808,0.0002885229244374,7.454294999652024e-05,0,0,0,1
253.93,3809,0.0006292715460152,0.0003709577055489,0,0,0,1
254.0,3810,0.0005025745457942,0.0003687364481143,0,0,0,1
254.07,3811,0.0006717990990209,0.0003090689401098,0,0,0,1
254.13,3812,0.0001589825764405,3.619924978722763e-05,0,0,0,1
254.2,3813,0.0005666849937083,0.0002155841588411,0,0,0,1
254.27,3814,0.0010612371070213,0.0003723486308845,0,0,0,1
254.33,3815,0.0006437279229005,0.0003029759951694,0,0,0,1
254.4,3816,0.0003683523585809,0.0001780320944474,0,0,0,1
254.47,3817,0.000297034772492,1.250984596206248e-05,0,0,0,1
254.53,3818,5.080552349031886e-05,0.0001436154814193,0,0,0,1
254.6,3819,0.000232998441518,0.0001785055458815,0,0,0,1
254.67,3820,0.0001691205256106,0.00031182342728,0,0,0,1
254.73,3821,5.21619261119823e-05,2.5263990007324748e-05,0,0,0,1
254.8,3822,0.000389469562942,0.0003086824666501,0,0,0,1
254.87,3823,0.0003999367587949,0.0002975201420217,0,0,0,1
254.93,3824,4.199459750231896e-05,0.0001002688212969,0,0,0,1
255.0,3825,0.000711227486828,0.0005790958910601,0,0,0,1
255.07,3826,0.0012137643125555,0.0006770409389858,0,0,0,1
255.13,3827,0.0004471639238611,0.0004891001952512,0,0,0,1
255.2,3828,6.716064666244996e-05,0.0006265981032395,0,0,0,1
255.27,3829,0.0002439438990889,0.0009141840571921,0,0,0,1
255.33,3830,0.0003252658794541,0.000524279521316,0,0,0,1
255.4,3831,0.0016249518185083,0.0006036505859175,0,0,0,1
255.47,3832,0.0008104108938298,0.0004939686531792,0,0,0,1
255.53,3833,0.0012251008895922,0.0006104852980538,0,0,0,1
255.6,3834,0.0042368802960717,0.0008988677551529,0,0,0,1
255.67,3835,0.0042230698583977,8.659106330987062e-05,0,0,0,0
255.73,3836,0.0071471499191177,0.0014190992439146,0,0,0,0
255.8,3837,0.0100216779804404,0.0018854746468578,0,0,0,0
255.87,3838,0.0122996335003701,0.0027360836125103,0,0,0,0
255.93,3839,0.0121028810490569,0.0033863024327566,0,0,0,0
256.0,3840,0.0095849019617549,0.0049897271120519,0,0,0,0
256.07,3841,0.0099120211492501,0.0064917125998964,0,0,0,0
256.13,3842,0.0102740278812375,0.0094993233630809,0,0,0,0
256.2,3843,0.0084815026396366,0.0101658829247446,0,0,0,0
256.27,3844,0.0096107464434619,0.0099037086901778,0,0,0,0
256.33,3845,0.0098939011244361,0.0117796594973642,0,0,0,0
256.4,3846,0.0080250781864517,0.0087665379673525,0,0,0,0
256.47,3847,0.0057258741474456,0.0063799673210886,0,0,0,0
256.53,3848,0.0080964165626955,0.0091613988728845,0,0,0,0
256.6,3849,0.0045895444553891,0.0163231552198306,0,0,0,0
256.67,3850,0.0156326095576334,0.0203533862472267,0,0,0,0
256.73,3851,0.0235828569907934,0.0093008637015766,0,0,0,0
256.8,3852,0.0166038067978255,0.0095757877526068,0,0,0,0
256.87,3853,0.0124796588751828,0.011833972874163,0,0,0,0
256.93,3854,0.0088660248039949,0.0095211147120616,0,0,0,0
257.0,3855,0.0077852361497726,0.0072927311686908,0,0,0,0
257.07,3856,0.0068338665055629,0.0063494912010406,0,0,0,0
257.13,3857,0.0040565082133241,0.0028969253487289,0,0,0,0
257.2,3858,0.0007772729881447,0.0026621504838673,0,0,0,0
257.27,3859,0.0004641360924899,0.0022910140143106,0,0,0,0
257.33,3860,0.0002087010598972,0.0004847912479186,0,0,0,0
257.4,3861,0.0014667913449766,0.0010419828600629,0,0,0,0
257.47,3862,0.0051885500650047,0.0018631173503922,0,0,0,0
257.53,3863,0.00486117581561,0.001457260667355,0,0,0,0
257.6,3864,0.0007333905981272,0.001421097307784,0,0,0,0
257.67,3865,0.0017472995323877,0.0025108640606386,0,0,0,0
257.73,3866,0.0022503907350137,0.0025548204201658,0,0,0,0
257.8,3867,0.0042671760535881,0.0035541906621195,0,0,0,0
257.87,3868,0.0048486439576388,0.0073540596445193,0,0,0,0
257.93,3869,0.003567447058509,0.004144277085573,0,0,0,0
258.0,3870,0.001713293213519,0.0012784632833225,0,0,0,0
258.07,3871,0.0027124532470475,0.0013138211531243,0,0,0,0
258.13,3872,0.0007726648373239,0.0011875976602967,0,0,0,0
258.2,3873,0.0001386197966332,0.0008231138834788,0,0,0,0
258.27,3874,0.0008013002446315,0.0021802377100188,0,0,0,0
258.33,3875,0.0021519352867344,0.0031254669534373,0,0,0,0
258.4,3876,0.0017832570699477,0.0015482235784464,0,0,0,0
258.47,3877,0.0003945071419046,0.0003734206040241,0,0,0,0
258.53,3878,0.0002878057747211,0.0002140119761468,0,0,0,0
258.6,3879,0.000194979812586,0.0003437552745381,0,0,0,0
258.67,3880,0.0002114131699953,0.0003751708638076,0,0,0,0
258.73,3881,0.0003784453174067,0.0002212817419775,0,0,0,0
258.8,3882,0.0002657237109142,3.433213373758438e-05,0,0,0,0
258.87,3883,0.0001126713467332,0.0002952918661287,0,0,0,0
258.93,3884,2.282871014164752e-05,7.303068205387861e-05,0,0,0,0
259.0,3885,2.614088783986705e-06,2.7616310262758032e-05,0,0,0,0
259.07,3886,1.4842631589234618e-05,6.55879489949589e-05,0,0,0,0
259.13,3887,0.0002629993485509,0.000264739017761,0,0,0,0
259.2,3888,0.0010630116182635,0.0013982385020192,0,0,0,0
259.27,3889,0.0021859827976299,0.0015204557638633,0,0,0,0
259.33,3890,0.0081918630076017,0.0010025704157913,0,0,0,0
259.4,3891,0.0061766861113194,0.0001042867200014,0,0,0,0
259.47,3892,0.0059107503228645,0.0011046799095898,0,0,0,0
259.53,3893,0.0098727980598521,0.0020553174354412,0,0,0,0
259.6,3894,0.0108642305585289,0.0016050518394508,0,0,0,0
259.67,3895,0.0083489406469325,0.0028763463642371,0,0,0,0
259.73,3896,0.0087706668545416,0.0049359094008718,0,0,0,0
259.8,3897,0.0069387272034632,0.0038550268523885,0,0,0,0
259.87,3898,0.0063799794778547,0.0051939825820962,0,0,0,0
259.93,3899,0.0062398006577531,0.0055727011968674,0,0,0,0
260.0,3900,0.0018934201266884,0.0027504751047379,0,0,0,0
260.07,3901,0.0010728141027434,0.0007948682503525,0,0,0,0
260.13,3902,0.0038484635937222,0.0025317066477865,0,0,0,0
260.2,3903,0.0049685303590844,0.0021178362808797,0,0,0,0
260.27,3904,0.0064485437761071,0.0002098922215187,0,0,0,0
260.33,3905,0.0042869765747503,0.0015605761214557,0,0,0,0
260.4,3906,0.0015657254271955,0.0003474008468417,0,0,0,0
260.47,3907,0.003760134574249,0.0041020193319186,0,0,0,0
260.53,3908,0.0109442004936631,0.0061824356597946,0,0,0,0
260.6,3909,0.0096569275499997,0.0038606282199556,0,0,0,0
260.67,3910,0.0052637570823363,0.0029389724095882,0,0,0,0
260.73,3911,0.0084206014728914,0.0037535634291969,0,0,0,0
260.8,3912,0.0132276729829836,0.0090701704127577,0,0,0,0
260.87,3913,0.0134691239758526,0.0103586605173945,0,0,0,1
260.93,3914,0.0100089891407389,0.0088416079898652,0,0,0,1
261.0,3915,0.0067756634919305,0.0063794992287235,0,0,0,1
261.07,3916,0.0042298541181445,0.0038450059969715,0,0,0,1
261.13,3917,0.0010024973423616,0.000656163977747,0,0,0,0
261.2,3918,0.0004218178803727,0.0021972640373751,0,0,0,0
261.27,3919,0.0004246149134384,0.0007174706531787,0,0,0,0
261.33,3920,0.000240565767862,0.000209602124888,0,0,0,0
261.4,3921,0.0004285629110015,0.000146927119308,0,0,0,0
261.47,3922,0.0004994351418871,9.904138851914726e-05,0,0,0,0
261.53,3923,6.853311396447288e-05,0.0002008666369875,0,0,0,1
261.6,3924,0.0002815817880575,2.487347472725068e-05,0,0,0,1
261.67,3925,0.0003795326346391,0.0001288167904506,0,0,0,1
261.73,3926,6.218694041542543e-05,4.308438372874614e-05,0,0,0,1
261.8,3927,0.0006600585444232,6.835371994854791e-05,0,0,0,1
261.87,3928,0.0042223009518028,0.0006055394538894,0,0,0,1
261.93,3929,0.0086328038208785,0.0015717652867647,0,0,0,1
262.0,3930,0.0046740868119559,0.0007365076965789,0,0,0,1
262.07,3931,0.0012068392761694,0.0002928846633126,0,0,0,1
262.13,3932,0.0002093822026289,0.0001198665067397,0,0,0,1
262.2,3933,0.0006581706692901,0.0002846956943292,0,0,0,1
262.27,3934,0.0031922864366347,0.0013860380973132,0,0,0,1
262.33,3935,0.0079659071246101,0.0030095305867504,0,0,0,1
262.4,3936,0.0059164020057784,0.0019315233431078,0,0,0,1
262.47,3937,0.0064623962705265,0.001834881738787,0,0,0,0
262.53,3938,0.0114171326457398,0.0050178849797491,0,0,0,0
262.6,3939,0.0123644374461377,0.0062697886928877,0,0,0,0
262.67,3940,0.0111080242872074,0.0062090575716223,0,0,0,0
262.73,3941,0.0088787584330466,0.0056697545577089,0,0,0,0
262.8,3942,0.0065067538747895,0.0028819029793098,0,0,0,0
262.87,3943,0.0051442437098754,0.0041078046719833,0,0,0,0
262.93,3944,0.0048785351373747,0.0067013637765065,0,0,0,0
263.0,3945,0.0035113609397291,0.0051383171374153,0,0,0,0
263.07,3946,0.0028425395201782,0.0030112442049085,0,0,0,0
263.13,3947,0.0057058181798338,0.0038550809846634,0,0,0,0
263.2,3948,0.0055886679230634,0.0048496251108022,0,0,0,0
263.27,3949,0.0033160441581327,0.0033000194641986,0,0,0,0
263.33,3950,0.0011614668447531,0.0013985877080384,0,0,0,0
263.4,3951,0.000493558209998,0.0004764641051787,0,0,0,0
263.47,3952,0.0009464284112772,9.32099958107659e-05,0,0,0,0
263.53,3953,0.0009962091497884,0.0002017463293204,0,0,0,0
263.6,3954,0.0003146955787642,0.0001105387154477,0,0,0,0
263.67,3955,0.001281300244043,0.0001572082532732,0,0,0,0
263.73,3956,0.0012429058876498,0.0006759577781571,0,0,0,0
263.8,3957,0.0031531116014721,0.0018464396530824,0,0,0,0
263.87,3958,0.0033257404085422,0.0020871832471625,0,0,0,0
263.93,3959,0.0031938599660317,0.0011354125941743,0,0,0,0
264.0,3960,0.0028241809750151,0.0002328856891137,0,0,0,0
264.07,3961,0.0009389385802179,0.0006956977501444,0,0,0,0
264.13,3962,0.0016978510644991,0.0013873182106164,0,0,0,0
264.2,3963,0.0010315456563883,0.0028728845919937,0,0,0,0
264.27,3964,0.0030186533238258,0.0043093471079964,0,0,0,0
264.33,3965,0.007724714327652,0.0058489826815542,0,0,0,0
264.4,3966,0.0079348799526497,0.0064930633150576,0,0,0,0
264.47,3967,0.0078138061282271,0.005673735475218,0,0,0,0
264.53,3968,0.0077709978161876,0.0043260299851379,0,0,0,0
264.6,3969,0.0093764327523584,0.0015788468307194,0,0,0,0
264.67,3970,0.0066658617600822,0.0019178637819649,0,0,0,0
264.73,3971,0.003095269550038,0.0001357481703435,0,0,0,0
264.8,3972,0.005470037834315,0.0027205566326681,0,0,0,0
264.87,3973,0.0105351118882298,0.0044389376508677,0,0,0,1
264.93,3974,0.0115227412774641,0.0059547547588926,0,0,0,1
265.0,3975,0.0082103918868254,0.0053443002955204,0,0,0,1
265.07,3976,0.0052028756186966,0.0027692085988134,0,0,0,1
265.13,3977,0.002140001678277,0.0009647886443146,0,0,0,1
265.2,3978,0.0025664581528148,0.0005701548068119,0,0,0,1
265.27,3979,0.003259140633709,0.001619272417007,0,0,0,1
265.33,3980,0.0031846200997862,0.0052634706816729,0,0,0,1
265.4,3981,0.0056363042701468,0.0086826075988368,0,0,0,1
265.47,3982,0.0067107100334144,0.0072641919693763,0,0,0,1
265.53,3983,0.0041058459405589,0.0064649730904778,0,0,0,1
265.6,3984,0.0016179417699584,0.0014676983630581,0,0,0,1
265.67,3985,0.0019045101215376,5.969084733264415e-05,0,0,0,1
265.73,3986,0.0005860388904029,0.0002740817149029,0,0,0,1
265.8,3987,0.00030628576405,3.520964507276782e-05,0,0,0,1
265.87,3988,0.0009015920422299,0.0007022866252744,0,0,0,1
265.93,3989,0.0009994893955401,0.0013773800455442,0,0,0,1
266.0,3990,0.0001949205583764,0.0007464633245327,0,0,0,1
266.07,3991,0.0008212505391378,0.0004311111821688,0,0,0,1
266.13,3992,0.0003717029891232,0.000368886461831,0,0,0,1
266.2,3993,0.0033491254386023,0.00030737274016,0,0,0,1
266.27,3994,0.0076628244870415,0.0016020557649762,0,0,0,1
266.33,3995,0.0009762449149728,0.0045096529876793,0,0,0,1
266.4,3996,0.0037363715655578,0.0018694164635634,0,0,0,1
266.47,3997,0.0022291154845112,0.0047433854769354,0,0,0,1
266.53,3998,0.0009685241606961,0.0025881635488254,0,0,0,1
266.6,3999,0.0023635820427805,0.0004801094661997,0,0,0,1
266.67,4000,0.0018736147440048,6.401102847140414e-05,0,0,0,1
266.73,4001,0.0026378925415028,0.0003371511172217,0,0,0,1
266.8,4002,0.0010265285181637,0.0011665867216436,0,0,0,1
266.87,4003,0.0004125774903423,0.0008602459156082,0,0,0,1
266.93,4004,0.0009073837575455,0.0001515037259053,0,0,0,1
267.0,4005,0.0002555759803912,0.0015530925339747,0,0,0,1
267.07,4006,0.000698323342259,0.0019755162581287,0,0,0,1
267.13,4007,0.000542337156538,0.002014667800986,0,0,0,1
267.2,4008,0.0004908285152663,0.0018869125720912,0,0,0,1
267.27,4009,0.0003076686057128,0.0005387927490045,0,0,0,1
267.33,4010,0.0001266490260809,0.000176394263944,0,0,0,1
267.4,4011,0.0004375277501082,0.0005877601977626,0,0,0,1
267.47,4012,0.0001414209840796,5.683978215141223e-05,0,0,0,1
267.53,4013,0.0006067883544943,0.0009396337574201,0,0,0,1
267.6,4014,0.0023429677228189,0.0015853149912209,0,0,0,1
267.67,4015,0.0035263803415342,0.0006656124734393,0,0,0,1
267.73,4016,0.0013079354793602,0.0003241588254054,0,0,0,1
267.8,4017,0.001288232979153,0.0004672465978654,0,0,0,1
267.87,4018,0.0024155308869346,0.0007887551839898,0,0,0,1
267.93,4019,0.0021381129258187,0.0009003713228399,0,0,0,1
268.0,4020,0.0073549219331028,0.0020666574689876,0,0,0,1
268.07,4021,0.008534990434202,0.0025853914694139,0,0,0,0
268.13,4022,0.0094848464274429,0.0010938682132749,0,0,0,0
268.2,4023,0.0165588161035311,0.0001676239346207,0,0,0,0
268.27,4024,0.0138781444344063,0.0009210692251443,0,0,0,0
268.33,4025,0.0097994321317541,0.0027075948788059,0,0,0,0
268.4,4026,0.0084679378313964,0.0059436878210437,0,0,0,0
268.47,4027,0.0078756538967493,0.0063515367246933,0,0,0,0
268.53,4028,0.0132668348530666,0.0056433873516239,0,0,0,0
268.6,4029,0.0162681436190748,0.0112780611412928,0,0,0,0
268.67,4030,0.018825728642194,0.0163839618160881,0,0,0,0
268.73,4031,0.0210299379691802,0.0210674299369411,0,0,0,0
268.8,4032,0.0232941720613289,0.0244339248018338,0,0,0,0
268.87,4033,0.0242244422765254,0.0247551788582456,0,0,0,0
268.93,4034,0.024089443964752,0.0227536368473514,0,0,0,0
269.0,4035,0.0232561678530324,0.0229305763468796,0,0,0,0
269.07,4036,0.0216224784224572,0.0176696248422821,0,0,0,0
269.13,4037,0.0182540870725432,0.0155512209762128,0,0,0,0
269.2,4038,0.0163757606852398,0.0111129536149927,0,0,0,0
269.27,4039,0.0167967341065102,0.0132460285076849,0,0,0,0
269.33,4040,0.0157084092511746,0.015897917077111,0,0,0,0
269.4,4041,0.0186476957634927,0.0169022618756088,0,0,0,0
269.47,4042,0.0215930225859228,0.0204430425081061,0,0,0,0
269.53,4043,0.0227325307382886,0.022850794120405,0,0,0,0
269.6,4044,0.022384671683978,0.024248194021648,0,0,0,0
269.67,4045,0.0244252891003413,0.0263529422667646,0,0,0,0
269.73,4046,0.0240791134307135,0.0216657451122575,0,0,0,0
269.8,4047,0.0209109694173581,0.0219348106269556,0,0,0,0
269.87,4048,0.0204480916280745,0.0217698252539787,0,0,0,0
