Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
263.53,3953,0.0134104112561403,0.0140853502952736,0,0,0,0
263.6,3954,0.0096429147215918,0.009205803800312,0,0,0,0
263.67,3955,0.0095646401516008,0.0075295096974798,0,0,0,0
263.73,3956,0.0157915442447035,0.0095169076464069,0,0,0,0
263.8,3957,0.0187673056201786,0.016331316311719,0,0,0,0
263.87,3958,0.0184884628210116,0.0178675794680634,0,0,0,0
263.93,3959,0.0188681574217049,0.0176402419002623,0,0,0,0
264.0,3960,0.0158902589649724,0.0130463586065412,0,0,0,0
264.07,3961,0.0090065278363667,0.0086644150374531,0,0,0,0
264.13,3962,0.004741424111023,0.0051649523174138,0,0,0,0
264.2,3963,0.0033858375954427,0.0025983473789259,0,0,0,0
264.27,3964,0.0027435300994258,0.0013383108810791,0,0,0,0
264.33,3965,0.0019385275624478,0.0009442819706139,0,0,0,0
264.4,3966,0.0017903013429112,0.0009084507468041,0,0,0,0
264.47,3967,0.0015444100865134,0.0011929854455789,0,0,0,0
264.53,3968,0.0008160743652046,0.0010760800909446,0,0,0,0
264.6,3969,0.0006808504828938,0.0009754378185905,0,0,0,0
264.67,3970,0.000394791110653,0.0003165428074943,0,0,0,0
264.73,3971,0.0011429154195337,0.0003133267998504,0,0,0,0
264.8,3972,0.0060401192571714,0.000463424471752,0,0,0,0
264.87,3973,0.0135097665607553,0.0020871788445361,0,0,0,0
264.93,3974,0.0130636281104536,0.0070283361459017,0,0,0,0
265.0,3975,0.0129150656078968,0.007540275846151,0,0,0,0
265.07,3976,0.0142180871121142,0.0088051911148027,0,0,0,0
265.13,3977,0.016751525413457,0.0162000121841524,0,0,0,0
265.2,3978,0.0183702912865932,0.0250441688151209,0,0,0,0
265.27,3979,0.0223892788760725,0.0270836113329143,0,0,0,0
265.33,3980,0.0224138050209652,0.0217157026127253,0,0,0,0
265.4,3981,0.0204690516451723,0.020627833473963,0,0,0,0
265.47,3982,0.021594907538816,0.0242459244784175,0,0,0,0
265.53,3983,0.0240975967336353,0.0250600975308261,0,0,0,0
265.6,3984,0.0248907255929087,0.0222691259759859,0,0,0,0
265.67,3985,0.0222978104984611,0.0211847734545626,0,0,0,0
265.73,3986,0.0198290866785532,0.0185576608246024,0,0,0,0
265.8,3987,0.0157315332659003,0.0158957608103733,0,0,0,0
265.87,3988,0.0151357687144867,0.0149845528507804,0,0,0,0
265.93,3989,0.0134227543648095,0.0133495900715108,0,0,0,1
266.0,3990,0.0100577275581408,0.012359607456947,0,0,0,1
266.07,3991,0.0040510339995667,0.0073006193857199,0,0,0,1
266.13,3992,0.0013804353851189,0.0011418529667711,0,0,0,1
266.2,3993,0.0077006240327146,0.0018876825147882,0,0,0,1
266.27,3994,0.0073135899767773,0.0016660971605508,0,0,0,0
266.33,3995,0.0046045999288943,0.0007667640693857,0,0,0,0
266.4,3996,0.0035182350028978,0.0014223205691788,0,0,0,0
266.47,3997,0.0034646865662871,0.0019146640059136,0,0,0,0
266.53,3998,0.0040754496449739,0.0015888012955701,0,0,0,0
266.6,3999,0.0057610432539961,0.0015337102704675,0,0,0,0
266.67,4000,0.0125752501635536,0.001746114296782,0,0,0,0
266.73,4001,0.0166869334155447,0.0016105217678027,0,0,0,0
266.8,4002,0.0146485376582263,0.0051463615266953,0,0,0,0
266.87,4003,0.0146060742339297,0.0105636917869642,0,0,0,0
266.93,4004,0.0134361138690817,0.0121505411451235,0,0,0,0
267.0,4005,0.0168898180761215,0.0141302286514461,0,0,0,0
267.07,4006,0.0113994899464943,0.0093711304443183,0,0,0,0
267.13,4007,0.0028089494614974,0.003289752393743,0,0,0,0
267.2,4008,0.0025588924573806,0.0004480899893598,0,0,0,0
267.27,4009,0.0091005828814029,0.0039554989863985,0,0,0,0
267.33,4010,0.0100282520500571,0.0027265770941673,0,0,0,0
267.4,4011,0.0108869094858657,0.0004935260231203,0,0,0,0
267.47,4012,0.0098687433249779,0.0020309911465456,0,0,0,0
267.53,4013,0.0069984689203067,0.0022825881711097,0,0,0,0
267.6,4014,0.0029875867818725,0.001312671015954,0,0,0,0
267.67,4015,0.0032485367624947,0.0002831463650093,0,0,0,0
267.73,4016,0.0041017561466099,0.0016380006683181,0,0,0,0
267.8,4017,0.0055686170862954,0.0014834573210205,0,0,0,0
267.87,4018,0.0053855518845008,0.0012602074069651,0,0,0,0
267.93,4019,0.003790174488429,0.0012583150741905,0,0,0,0
268.0,4020,0.0007889929868354,0.0009632962681098,0,0,0,0
268.07,4021,0.0048517653350963,0.0005739169785489,0,0,0,0
268.13,4022,0.0092574607184188,0.0009255072938009,0,0,0,0
268.2,4023,0.0087392094246165,0.0008233275317542,0,0,0,0
268.27,4024,0.0050357431555579,0.0016280706153657,0,0,0,0
268.33,4025,0.0002655753847236,0.0012168062198625,0,0,0,0
268.4,4026,0.004342487102261,0.0009031873400384,0,0,0,0
268.47,4027,0.0060347879873442,0.0022181341918542,0,0,0,0
268.53,4028,0.0082968909676909,0.00442432877828,0,0,0,0
268.6,4029,0.0113733432404564,0.0070304538490586,0,0,0,0
268.67,4030,0.0093592696149771,0.0072842049410318,0,0,0,0
268.73,4031,0.0092131940312297,0.0079938950346017,0,0,0,0
268.8,4032,0.0084295054742642,0.0092114295236549,0,0,0,0
268.87,4033,0.0060307879035556,0.0080442345567897,0,0,0,0
268.93,4034,0.0004321557995806,0.0012815433175914,0,0,0,0
269.0,4035,0.0045112178857483,0.0017830570517098,0,0,0,0
269.07,4036,0.0046011323092795,0.0020814317664093,0,0,0,0
269.13,4037,0.0030424823566237,0.0012463298126,0,0,0,0
269.2,4038,0.0122652645951304,0.001534735132533,0,0,0,0
269.27,4039,0.0166242188909863,0.0091011714889871,0,0,0,0
269.33,4040,0.0151419940455762,0.0127098868841107,0,0,0,0
269.4,4041,0.0118333142098518,0.011817750148127,0,0,0,0
269.47,4042,0.0083919700930275,0.0076045490410763,0,0,0,0
269.53,4043,0.0049780875611187,0.0082429650085022,0,0,0,0
269.6,4044,0.0066641368114572,0.0081444700271023,0,0,0,0
269.67,4045,0.0022478599848205,0.0036725965671435,0,0,0,0
269.73,4046,0.0017709187696095,0.0030244447788916,0,0,0,0
269.8,4047,0.0015230799885606,0.0023448431808394,0,0,0,0
269.87,4048,0.0011216108429789,0.0011522237475889,0,0,0,0
269.93,4049,0.0013317921494748,0.0006967898120311,0,0,0,0
270.0,4050,0.0008661039753689,0.0003472634586182,0,0,0,0
270.07,4051,0.0004388714241935,7.18158274035382e-05,0,0,0,0
270.13,4052,0.0004424079907269,7.248920245730853e-05,0,0,0,0
270.2,4053,0.000368648912218,0.0002826186199731,0,0,0,0
270.27,4054,0.0002020491630367,0.0001311555999323,0,0,0,1
270.33,4055,0.0005939818766792,7.878347745298818e-05,0,0,0,1
270.4,4056,6.513430706775773e-05,0.0002772967198215,0,0,0,1
270.47,4057,0.00075467134773,0.0001810436292619,0,0,0,0
270.53,4058,0.0002059309629255,0.0007600974931329,0,0,0,0
270.6,4059,0.0003102774625008,0.0002635874919354,0,0,0,0
270.67,4060,0.0004708601248327,0.0001940864154535,0,0,0,1
270.73,4061,0.0005861138636539,0.0003326209468325,0,0,0,1
270.8,4062,0.0011386517086784,0.0010487933670511,0,0,0,1
270.87,4063,0.0058148675219857,0.0023570941271825,0,0,0,1
270.93,4064,0.0110386908415796,0.0021958361136004,0,0,0,1
271.0,4065,0.0101652899523365,0.0021526941271436,0,0,0,1
271.07,4066,0.0059901428997769,0.0036901687796151,0,0,0,1
271.13,4067,0.0059772684646122,0.0021511966726373,0,0,0,1
271.2,4068,0.0008373480620386,0.0005778412886176,0,0,0,1
271.27,4069,0.0027421803005606,0.0002299758283285,0,0,0,1
271.33,4070,0.0024156508645613,0.0011151227681068,0,0,0,1
271.4,4071,0.000957491508525,0.0008462580696571,0,0,0,1
271.47,4072,0.0009000207322001,0.0001551843183644,0,0,0,1
271.53,4073,0.0065422677573222,0.0016538834222255,0,0,0,0
271.6,4074,0.0127813686028092,0.0032665921060611,0,0,0,0
271.67,4075,0.0119911715595173,7.71658128616776e-05,0,0,0,0
271.73,4076,0.0121945945241342,0.0043624825336229,0,0,0,0
271.8,4077,0.0141651648778712,0.0093192032624969,0,0,0,0
271.87,4078,0.0142516521083537,0.0105664098080634,0,0,0,0
271.93,4079,0.0115124429780895,0.0105757804873818,0,0,0,0
272.0,4080,0.009508449176593,0.0104113485092393,0,0,0,0
272.07,4081,0.0085070705337142,0.0075123615431378,0,0,0,0
272.13,4082,0.0083447381225731,0.0085308122900195,0,0,0,0
272.2,4083,0.0089651508925436,0.008841208578494,0,0,0,0
272.27,4084,0.0115353798069341,0.0103071436763999,0,0,0,0
272.33,4085,0.0108565250431782,0.0071734814166441,0,0,0,0
272.4,4086,0.0104550439046259,0.0032272005528098,0,0,0,0
272.47,4087,0.0099798062053981,0.0028301615852366,0,0,0,0
272.53,4088,0.0106848976787662,0.005866358627242,0,0,0,0
272.6,4089,0.013248916223353,0.012795583670094,0,0,0,0
272.67,4090,0.0131432865663855,0.0115625822835553,0,0,0,0
272.73,4091,0.010928325132384,0.0109945339129521,0,0,0,0
272.8,4092,0.0014333642350058,0.0071008500150146,0,0,0,0
272.87,4093,0.0048981006585497,0.001684039743699,0,0,0,0
272.93,4094,0.0055506610572902,0.0038803106829509,0,0,0,1
273.0,4095,0.0034518447737084,0.0018204884216912,0,0,0,0
273.07,4096,0.0024136898432511,0.0004602527874359,0,0,0,0
273.13,4097,0.0008553606360005,0.000216389524588,0,0,0,0
273.2,4098,0.0015023291532859,0.0003776941261463,0,0,0,0
273.27,4099,0.0010402722582802,0.0007078711170777,0,0,0,0
273.33,4100,0.0005250403429066,0.0003522449004743,0,0,0,0
273.4,4101,0.000352630664073,0.0001443790603405,0,0,0,0
273.47,4102,0.0003951134506048,2.860958648250624e-05,0,0,0,0
273.53,4103,0.0008213615199534,0.0002663788450584,0,0,0,0
273.6,4104,0.0008110567255188,0.0005758912174983,0,0,0,0
273.67,4105,0.0024095182646469,0.0004849887758469,0,0,0,0
273.73,4106,0.0030279208368745,0.0007045029269794,0,0,0,0
273.8,4107,0.0015293203814977,0.0008406045591292,0,0,0,0
273.87,4108,0.0008611347514695,0.0004902387700111,0,0,0,0
273.93,4109,0.0015045293859411,0.0004718427156949,0,0,0,0
274.0,4110,0.0030284897067233,0.0004409630140262,0,0,0,0
274.07,4111,0.0052377668737763,0.0008338396626969,0,0,0,0
274.13,4112,0.0085232217798607,0.0035168955608947,0,0,0,0
274.2,4113,0.0067989644437253,0.0055804698662968,0,0,0,0
274.27,4114,0.0059785267827121,0.0058108024746282,0,0,0,0
274.33,4115,0.0052370043806236,0.0066969895446083,0,0,0,0
274.4,4116,0.00437077739032,0.0040275051536567,0,0,0,1
274.47,4117,0.0023672862704246,9.51803131854173e-05,0,0,0,0
274.53,4118,0.0158904432853478,0.0033147228385062,0,0,0,0
274.6,4119,0.0177566075770131,0.0029087955202187,0,0,0,0
274.67,4120,0.0167773250089788,0.0026421632223685,0,0,0,0
274.73,4121,0.0200349219223999,0.0027929849768661,0,0,0,0
274.8,4122,0.0209859968116326,0.0079607147609759,0,0,0,0
274.87,4123,0.0169903866940963,0.0096089849727163,0,0,0,0
274.93,4124,0.0117262099584533,0.0084237419767121,0,0,0,0
275.0,4125,0.0083208807942625,0.006765817697732,0,0,0,0
275.07,4126,0.0077623793343703,0.0065045690574262,0,0,0,0
275.13,4127,0.0099203073072398,0.0105794324999869,0,0,0,0
275.2,4128,0.0103568607047598,0.0094755763445269,0,0,0,0
275.27,4129,0.007824158677782,0.0094503809879683,0,0,0,0
275.33,4130,0.0092249895387368,0.0075659635571867,0,0,0,0
275.4,4131,0.0099289471046939,0.0068204355788235,0,0,0,0
275.47,4132,0.0120339176573129,0.0095911784148449,0,0,0,0
275.53,4133,0.0150692423767213,0.0166945438208128,0,0,0,0
275.6,4134,0.0158138327210609,0.0160901557598615,0,0,0,0
275.67,4135,0.0181775146139541,0.0178245389689939,0,0,0,0
275.73,4136,0.0161227943451856,0.0171419854563755,0,0,0,0
275.8,4137,0.0141746031397749,0.0131084957375767,0,0,0,0
275.87,4138,0.0125819564551395,0.0119258173445911,0,0,0,0
275.93,4139,0.0128626604670343,0.0144920623774267,0,0,0,0
276.0,4140,0.0112900643531728,0.0131174429890904,0,0,0,0
276.07,4141,0.0122998455661859,0.0116567506837547,0,0,0,0
276.13,4142,0.0159377678278465,0.012288112699699,0,0,0,0
276.2,4143,0.0163269328133364,0.0137734283665386,0,0,0,0
