Time,Frame,nose_dist,body_dist,freezing
57.2,1430,0.0055419085355507,0.0007817129994949,0
57.24,1431,0.0216648528601951,0.0023747704898569,0
57.28,1432,0.0187333230198001,0.0073654318242549,0
57.32,1433,0.0063286255350801,0.0044704216339684,0
57.36,1434,0.0115435484597086,0.010468950857165,0
57.4,1435,0.003880737081353,0.0039349511049647,0
57.44,1436,0.0059961397090169,0.0073390219531371,0
57.48,1437,0.008951896198462,0.0095658987363186,0
57.52,1438,0.0051954964417004,0.0044292481660206,0
57.56,1439,0.0146911689934893,0.0125158873167832,0
57.6,1440,0.0152558792027533,0.0159690435693298,0
57.64,1441,0.0067912768501332,0.0083567207910874,0
57.68,1442,0.0032480656938853,0.0037687636947654,0
57.72,1443,0.0090383468438008,0.0099634859422878,0
57.76,1444,0.0024419947150734,0.0026820493974401,0
57.8,1445,0.0031240983699638,0.0011658266785597,0
57.84,1446,0.0034904692462512,0.0002906830537889,0
57.88,1447,0.0007684210453991,7.452546186942879e-05,0
57.92,1448,4.296470140552344e-05,0.0002862377501198,0
57.96,1449,0.0009413933784276,0.0006284367263928,0
58.0,1450,0.0038765214540393,0.0028003068012125,0
58.04,1451,0.0019851624556794,0.0022946349936899,0
58.08,1452,0.0004290839727012,0.0005047794238745,0
58.12,1453,0.000249990005563,0.0010838926800653,0
58.16,1454,0.0006573936981582,0.0004493321258785,0
58.2,1455,0.0028080445622749,0.0007362781866007,0
58.24,1456,0.0017538978829435,0.0002987036358902,0
58.28,1457,0.0005927183741193,0.000182651801451,0
58.32,1458,0.0012773122815814,0.000638112497518,0
58.36,1459,0.0004159435345583,0.000280005903518,0
58.4,1460,0.0004849218915228,8.4434013456125e-06,0
58.44,1461,0.0007816905615474,0.0003186750938811,0
58.48,1462,0.0015153866856424,0.0008319314157931,0
58.52,1463,0.000373644149042,0.0002193016318377,0
58.56,1464,1.7763568394002505e-17,1.950988967074352e-06,0
58.6,1465,6.952830475047354e-05,3.147743203013198e-05,0
58.64,1466,0.0004983484789487,0.0001278882524637,0
58.68,1467,0.0011694427541228,0.0003423920280011,0
58.72,1468,0.0003659964317907,0.0001280167270981,0
58.76,1469,0.0003434728285983,0.0001676150298794,0
58.8,1470,0.0001180750022706,4.58576408922333e-05,0
58.84,1471,0.0002454466262838,0.000535552775727,0
58.88,1472,0.0003942214982272,0.0017839867138808,0
58.92,1473,0.0007631865902694,0.000440435520088,0
58.96,1474,0.0035675151111163,0.0001223774374405,0
59.0,1475,0.0029493397922974,0.0001876559098331,0
59.04,1476,0.0007372523703359,0.0001258690639594,0
59.08,1477,5.288782444672791e-05,0.0001091589674389,0
59.12,1478,0.0014936424849481,0.0001627972387297,0
59.16,1479,0.0059862534143532,0.0005360352946875,0
59.2,1480,0.0034519618747584,0.0001487512208863,0
59.24,1481,0.0117141127775575,0.0003948217290412,0
59.28,1482,0.0164341106096198,0.0013169981880004,0
59.32,1483,0.0056848882337824,0.0013615508470926,0
59.36,1484,0.0103968878981914,0.0057553405737543,0
59.4,1485,0.0119198835292943,0.0085303767513966,0
59.44,1486,0.0063983442882616,0.0056112066886517,0
59.48,1487,0.0023784452748299,0.0020501678199501,0
59.52,1488,0.0053572612355292,0.0041555133452319,0
59.56,1489,0.0036945276587179,0.003703566566644,0
59.6,1490,0.010918052582257,0.0122812359369662,0
59.64,1491,0.0107280245602705,0.0117234300581985,0
59.68,1492,0.0119010811831548,0.011391728087617,0
59.72,1493,0.0026276418599109,0.0025369105148509,0
59.76,1494,0.0017011040323567,0.0015809561500004,0
59.8,1495,0.0097284173708417,0.0107655326177269,0
59.84,1496,0.0134761993575618,0.0212777267008271,0
59.88,1497,0.0029790683869842,0.0049596182703911,0
59.92,1498,0.000260231519749,1.5705972346857778e-05,0
59.96,1499,0.0006662122784826,0.0004689384617726,0
60.0,1500,0.0032697060075886,0.0021246544378061,0
60.04,1501,0.0033307483065804,0.0021793462946271,0
60.08,1502,0.0014782099922902,0.0006468807577374,0
60.12,1503,0.0003227000907412,0.0001092672874648,0
60.16,1504,2.33935746920154e-05,0.0001611081313074,0
60.2,1505,0.0001602858080667,0.0005705775860473,0
60.24,1506,0.000364150670098,0.0002439600842575,0
60.28,1507,0.0002430267643995,0.0004433131044526,0
60.32,1508,0.0006807367165645,0.000155210973652,0
60.36,1509,0.0026830210417291,0.0003275006875772,0
60.4,1510,0.0035949748598082,0.0017180680204708,0
60.44,1511,0.0145772705426542,0.0084060573717398,0
60.48,1512,0.0143039405376559,0.0093303742695059,0
60.52,1513,0.0050956657151473,0.0036405798976696,0
60.56,1514,0.0093037664122156,0.0069683670687737,0
60.6,1515,0.0041865039076263,0.0032477156510232,0
60.64,1516,0.0095168841087551,0.0074206336295089,0
60.68,1517,0.0090331410235802,0.0093661892653567,0
60.72,1518,0.0033344435820999,0.0043953982874757,0
60.76,1519,0.0063958536117021,0.0097243910152024,0
60.8,1520,0.0044835700953794,0.0050609577014234,0
60.84,1521,0.0139650120826387,0.0134930595390208,0
60.88,1522,0.0146696264790901,0.0166374906316861,0
60.92,1523,0.0110962735880609,0.0122004325287901,0
60.96,1524,0.0021791581231274,0.0032171604979697,0
61.0,1525,3.157493531344092e-05,0.0040118474105759,0
61.04,1526,0.000213259459676,0.0038125346270907,0
61.08,1527,0.0005085511946568,0.0019131017332306,0
61.12,1528,0.0007665055463546,0.0015453409203939,0
61.16,1529,0.0009515101880848,0.0003942730010455,0
61.2,1530,0.0010635800137861,7.208953507470096e-05,0
61.24,1531,0.0011027406984903,0.0002885689416782,0
61.28,1532,0.0010690405596603,0.0001024954780091,0
61.32,1533,0.0009625825313315,0.0006993381969706,0
61.36,1534,0.0007836315183849,0.0004761003478051,0
61.4,1535,0.000505981743472,0.0012103711137536,0
61.44,1536,0.000145848502257,0.0003018087106546,0
61.48,1537,0.0010969786206954,0.0008604465376084,0
61.52,1538,0.0037912898592578,0.0034516761065999,0
61.56,1539,0.0017298711345762,0.0014815316219962,0
61.6,1540,0.0046810378149446,0.0035428748020753,0
61.64,1541,0.0068054422178909,0.0056344081956865,0
61.68,1542,0.0034641156514265,0.0030692084199051,0
61.72,1543,0.0005331333053841,0.0005258268464077,0
61.76,1544,2.279574945838192e-05,0.0002663887452292,0
61.8,1545,0.0006017476998603,0.0006557701440818,0
61.84,1546,0.0042467901638643,0.0027451935968415,0
61.88,1547,0.0079872680822046,0.0017381798874543,0
61.92,1548,0.0035776603488987,0.0008874724825452,0
61.96,1549,0.0083035722569572,0.0030675532276457,0
62.0,1550,0.0068663927883403,0.0024571410828005,0
